image_name,polygon,wavelength_nm,slaughter,session,day,Marbling,Meat Color,Texture,Surface Moisture,Total,image_path
140093200156_s1_430nm_day1,2081 906; 2704 906; 2704 2160; 2081 2160,430,140093200156,s1,1,8,7,8,5,8,
140093200156_s1_540nm_day1,2111 794; 2767 794; 2767 2060; 2111 2060,540,140093200156,s1,1,8,7,8,5,8,
140093200156_s2_430nm_day1,2049 999; 2720 999; 2720 1845; 2049 1845,430,140093200156,s2,1,7,6,7,5,7,
140093200156_s2_540nm_day1,2166 991; 2886 991; 2886 1769; 2166 1769,540,140093200156,s2,1,7,6,7,5,7,
140093200156_s1_430nm_day7,2166 774; 2812 774; 2812 2102; 2166 2102,430,140093200156,s1,7,8,8,7,6,7,.\result\140093200156_day7\140093200156_day7\s1\140093200156_s1_430nm_day7.png
140093200156_s1_540nm_day7,2105 745; 2715 745; 2715 2098; 2105 2098,540,140093200156,s1,7,8,8,7,6,7,.\result\140093200156_day7\140093200156_day7\s1\140093200156_s1_540nm_day7.png
140093200156_s1_580nm_day7,2259 773; 2883 773; 2883 2135; 2259 2135,580,140093200156,s1,7,8,8,7,6,7,.\result\140093200156_day7\140093200156_day7\s1\140093200156_s1_580nm_day7.png
140093200156_s2_430nm_day7,2134 804; 2618 804; 2618 1863; 2134 1863,430,140093200156,s2,7,7,6,6,5,6,.\result\140093200156_day7\140093200156_day7\s2\140093200156_s2_430nm_day7.png
140093200156_s2_540nm_day7,2063 723; 2541 723; 2541 1885; 2063 1885,540,140093200156,s2,7,7,6,6,5,6,.\result\140093200156_day7\140093200156_day7\s2\140093200156_s2_540nm_day7.png
140093200156_s2_580nm_day7,2153 723; 2625 723; 2625 1895; 2153 1895,580,140093200156,s2,7,7,6,6,5,6,.\result\140093200156_day7\140093200156_day7\s2\140093200156_s2_580nm_day7.png
140111102817_s1_430nm_day7,1924 813; 2615 813; 2615 1675; 1924 1675,430,140111102817,s1,7,6,7,5,6,6,.\result\140111102817_day7\140111102817_day7\s1\140111102817_s1_430nm_day7.png
